item,bill_year,bill_month,date_peak,scale_5k,minutes,fuel_cell,meter,total
1,2018,Jul,7/13/2018,121,15,22,33,55
2,2018,Jul,7/13/2018,121,30,22,32,54
3,2018,Jul,7/13/2018,121,45,22,32,54
4,2018,Jul,7/13/2018,121,60,22,32,54
5,2018,Jul,7/13/2018,121,75,22,32,54
6,2018,Jul,7/13/2018,121,90,22,32,54
7,2018,Jul,7/13/2018,121,105,22,31.5,53.5
8,2018,Jul,7/13/2018,121,120,22,31,53
9,2018,Jul,7/13/2018,121,135,22,31,53
10,2018,Jul,7/13/2018,121,150,22,30,52
11,2018,Jul,7/13/2018,121,165,22,29.5,51.5
12,2018,Jul,7/13/2018,121,180,22,29.5,51.5
13,2018,Jul,7/13/2018,121,195,22,30,52
14,2018,Jul,7/13/2018,121,210,22,29.5,51.5
15,2018,Jul,7/13/2018,121,225,22,30,52
16,2018,Jul,7/13/2018,121,240,22,29,51
17,2018,Jul,7/13/2018,121,255,22,31,53
18,2018,Jul,7/13/2018,121,270,22,31,53
19,2018,Jul,7/13/2018,121,285,22,31,53
20,2018,Jul,7/13/2018,121,300,22,32.5,54.5
21,2018,Jul,7/13/2018,121,315,22,34,56
22,2018,Jul,7/13/2018,121,330,22,32.5,54.5
23,2018,Jul,7/13/2018,121,345,22,34,56
24,2018,Jul,7/13/2018,121,360,22,34,56
25,2018,Jul,7/13/2018,121,375,22,38,60
26,2018,Jul,7/13/2018,121,390,22,39,61
27,2018,Jul,7/13/2018,121,405,22,44.5,66.5
28,2018,Jul,7/13/2018,121,420,22,48,70
29,2018,Jul,7/13/2018,121,435,22,51,73
30,2018,Jul,7/13/2018,121,450,22,52,75
31,2018,Jul,7/13/2018,121,465,10,69.5,87
32,2018,Jul,7/13/2018,121,480,0,63.5,65
33,2018,Jul,7/13/2018,121,495,0,0,3
34,2018,Jul,7/13/2018,121,510,0,30,33.5
35,2018,Jul,7/13/2018,121,525,0,81.5,86.5
36,2018,Jul,7/13/2018,121,540,0,83,88
37,2018,Jul,7/13/2018,121,555,0,80,86
38,2018,Jul,7/13/2018,121,570,0,80,89
39,2018,Jul,7/13/2018,121,585,0,79.5,91
40,2018,Jul,7/13/2018,121,600,0,77.5,90.5
41,2018,Jul,7/13/2018,121,615,0,76,90
42,2018,Jul,7/13/2018,121,630,0,76,92
43,2018,Jul,7/13/2018,121,645,0,76.5,93
44,2018,Jul,7/13/2018,121,660,0,77.5,95
45,2018,Jul,7/13/2018,121,675,0,79,97
46,2018,Jul,7/13/2018,121,690,0,75,94
47,2018,Jul,7/13/2018,121,705,0,75.5,94
48,2018,Jul,7/13/2018,121,720,0,76,96
49,2018,Jul,7/13/2018,121,735,0,75,95
50,2018,Jul,7/13/2018,121,750,0,79,99
51,2018,Jul,7/13/2018,121,765,0,75,96
52,2018,Jul,7/13/2018,121,780,0,73.5,94
53,2018,Jul,7/13/2018,121,795,0,75.5,96
54,2018,Jul,7/13/2018,121,810,0,77,98
55,2018,Jul,7/13/2018,121,825,0,74,93
56,2018,Jul,7/13/2018,121,840,0,74,94
57,2018,Jul,7/13/2018,121,855,0,75.5,95
58,2018,Jul,7/13/2018,121,870,0,76,94
59,2018,Jul,7/13/2018,121,885,0,75,91.5
60,2018,Jul,7/13/2018,121,900,0,76.5,93.5
61,2018,Jul,7/13/2018,121,915,0,74,90
62,2018,Jul,7/13/2018,121,930,0,73,90
